"ID","CondThreat","CondDiscomfort","dissonance.1.scale","Issue.imp_scale"
"142","neutral","after",1,64.825
"143","threat","before",1,91.6
"144","neutral","after",1,80.15
"146","threat","after",1,93.95
"147","threat","before",1,98.7
"148","neutral","before",1,26.125
"149","threat","after",1,99.15
"151","threat","before",7,99.975
"153","threat","before",2,65.15
"154","neutral","after",1,0.2
"155","neutral","after",1,53.325
"156","neutral","after",1,73.025
"157","threat","before",3.5,25.3
"158","neutral","after",2,77.95
"159","threat","after",1,57.825
"160","threat","after",3.25,81.725
"161","neutral","after",1,70.875
"162","neutral","before",1,79.625
"164","threat","after",2.75,64.7
"165","threat","before",1.75,63.675
"166","neutral","before",5.5,55.9
"167","neutral","before",1,76.675
"168","neutral","before",3.5,94.75
"169","threat","before",1,97.075
"171","neutral","after",1,28.8
"172","threat","after",1.5,100
"173","threat","after",2.25,64.2
"174","neutral","before",1.25,80.675
"175","neutral","before",1.25,100
"176","neutral","after",1,98.2
"177","threat","before",4,54.225
"179","threat","before",4.25,76.075
"180","neutral","after",3,66.35
"181","neutral","before",1,81.825
"182","threat","before",1,82.05
"183","threat","after",4,73.175
"184","neutral","after",4,88.425
"185","neutral","after",2.25,66.425
"186","threat","before",2,63.3
"187","neutral","before",1.25,54.525
"188","neutral","before",1.25,83.25
"189","neutral","before",1,100
"190","threat","after",1,92.55
"191","neutral","before",1,53.425
"192","neutral","before",1.25,89.25
"193","threat","after",1.5,50.75
"194","neutral","after",2,53.85
"195","neutral","after",2,73.125
"196","threat","before",4.75,36.75
"197","neutral","after",1,72.625
"198","neutral","after",1,34.7
"199","neutral","after",2,61.2
"200","threat","before",1,97.2
"201","threat","before",4.25,100
"203","neutral","before",1,88.075
"204","neutral","after",1,62.7
"205","threat","after",1,85.7
"206","neutral","before",1,85.575
"207","threat","before",4.75,63.35
"208","threat","before",1,95.05
"209","threat","after",2.5,77.65
"210","neutral","after",1,48.55
"211","neutral","after",1,72.475
"212","threat","after",5,71.475
"214","threat","before",1,99.375
"215","neutral","before",1,67.35
"216","threat","after",1,58.5
"218","neutral","after",1,65.075
